Rank,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
1,Random Forest,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995670995671,0.995454545455,0.995451702769
2,Gaussian Naive Bayes,0.995454545455,0.995867768595,0.995454545455,0.995443153338,0.995867768595,0.995454545455,0.995443153338
3,Support Vector Machine,0.984090909091,0.985609910511,0.984090909091,0.984038105064,0.985609910511,0.984090909091,0.984038105064
4,Decision Tree,0.979545454545,0.980598189689,0.979545454545,0.979423151374,0.980598189689,0.979545454545,0.979423151374
5,K-Nearest Neighbors,0.979545454545,0.980355503083,0.979545454545,0.979283232813,0.980355503083,0.979545454545,0.979283232813
6,Logistic Regression,0.972727272727,0.974021729904,0.972727272727,0.972464025615,0.974021729904,0.972727272727,0.972464025615
