model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,mean_true_class_probability,multiclass_brier_score,mean_top_probability,top_label_ece,ece_bins
Baseline Random Forest,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995451702769,0.050389417280,0.956295454545,0.014725000000,0.957886363636,0.037568181818,10
Sigmoid-Calibrated Random Forest,0.993181818182,0.993506493506,0.993181818182,0.993177554153,0.993177554153,0.083757752780,0.925814542896,0.013797078392,0.929134680187,0.070276587166,10
