model,training_cv_macro_f1,training_cv_accuracy,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,mean_true_class_probability,multiclass_brier_score,mean_top_probability,model_size_bytes,parameters_json
Baseline Random Forest,0.993703346086,0.993750000000,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995451702769,0.050389417280,0.956295454545,0.014725000000,0.957886363636,3576201,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
Tuned Random Forest,0.995433308708,0.995454545455,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995451702769,0.062855048514,0.945147438258,0.017609538990,0.946361457671,5897337,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 200}"
