Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Log Loss,Top-1 Accuracy,Top-2 Accuracy,Top-3 Accuracy
Baseline Random Forest,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995451702769,0.050389417280,0.995454545455,1.000000000000,1.000000000000
Tuned Random Forest,0.995454545455,0.995670995671,0.995454545455,0.995451702769,0.995451702769,0.062855048514,0.995454545455,1.000000000000,1.000000000000
Sigmoid-Calibrated Random Forest,0.993181818182,0.993506493506,0.993181818182,0.993177554153,0.993177554153,0.083757752780,0.993181818182,1.000000000000,1.000000000000
