feature,evaluated_perturbations,prediction_flips,prediction_flip_rate,average_absolute_top_probability_change,average_original_top_1_rank_displacement,clipped_values
N,440,6,0.013636363636,0.023636363636,0.013636363636,15
P,440,3,0.006818181818,0.049545454545,0.006818181818,26
K,440,2,0.004545454545,0.112795454545,0.004545454545,19
temperature,440,0,0.000000000000,0.043409090909,0.000000000000,0
humidity,440,6,0.013636363636,0.067272727273,0.013636363636,13
ph,440,2,0.004545454545,0.014977272727,0.004545454545,0
rainfall,440,0,0.000000000000,0.035295454545,0.000000000000,2
